sample_id,phenotype
debe7d92-9e53-495b-b132-9e30a4f253dd.rna_seq.augmented_star_gene_counts,Stage2
2a74c2b4-9329-491c-8df5-26fa59b95ba1.rna_seq.augmented_star_gene_counts,Stage2
7a38eb16-f93c-4e96-b9bd-e7c83ddec387.rna_seq.augmented_star_gene_counts,Stage2
efdfb4b0-ba6f-43e1-ba1a-6f22e396a1a5.rna_seq.augmented_star_gene_counts,Stage2
457bdc65-d642-4831-b74c-18bd1e22507d.rna_seq.augmented_star_gene_counts,Stage2
2b972d57-78e5-4ca8-95cf-236226255a23.rna_seq.augmented_star_gene_counts,Stage2
d80870b7-539d-4b03-b205-9becaaaf6921.rna_seq.augmented_star_gene_counts,Stage2
88a71cf6-d982-4713-8401-e456ed1b50c4.rna_seq.augmented_star_gene_counts,Stage2
ad7867fb-5c55-408e-926f-3226eb593285.rna_seq.augmented_star_gene_counts,Stage2
f11d88e4-8abd-4418-8772-3498aa28be6d.rna_seq.augmented_star_gene_counts,Stage2
0752210a-cf91-4f8b-9adc-ae9997fc1bb3.rna_seq.augmented_star_gene_counts,Stage2
d685d173-dfaa-43af-90fd-fbc7758988ae.rna_seq.augmented_star_gene_counts,Stage2
9d2e1bb0-f115-4a6a-b856-1c8f165a5be5.rna_seq.augmented_star_gene_counts,Stage2
7042864c-f372-475d-8f44-733087a0e6c7.rna_seq.augmented_star_gene_counts,Stage2
b7c5a9d4-1fc1-46a5-a86a-e3c4f38f85df.rna_seq.augmented_star_gene_counts,Stage2
ede604e3-31d2-4008-9f54-215b85530191.rna_seq.augmented_star_gene_counts,Stage2
ae420dd3-e666-4c4e-aaa7-fc7ff62f3121.rna_seq.augmented_star_gene_counts,Stage2
fa587e44-95e2-49d0-9001-f75a126cd6a1.rna_seq.augmented_star_gene_counts,Stage2
e08e8293-e5eb-40df-b327-8559079126a3.rna_seq.augmented_star_gene_counts,Stage2
edffdfac-f4ac-47d6-96f8-cb56b8745dac.rna_seq.augmented_star_gene_counts,Stage2
b31f0c5b-e917-4d4b-9605-61a5aede7cad.rna_seq.augmented_star_gene_counts,Stage2
bf95f48b-ab11-4950-9bbe-8f4e7445dca1.rna_seq.augmented_star_gene_counts,Stage2
5ed4fadf-ed73-4b2c-9a9b-d557938903cc.rna_seq.augmented_star_gene_counts,Stage2
0c097ee8-b601-4262-b2b6-d30cfd4c858f.rna_seq.augmented_star_gene_counts,Stage2
bdbe42b1-9e8a-408e-ad13-940f186618ef.rna_seq.augmented_star_gene_counts,Stage2
f914722f-f73b-4da6-801d-aa771d3afc3c.rna_seq.augmented_star_gene_counts,Stage2
08b55ab1-42b1-4fe1-8d97-5e3fd1b5b055.rna_seq.augmented_star_gene_counts,Stage2
8f55c9aa-d154-43ef-a752-0193aaa5ab51.rna_seq.augmented_star_gene_counts,Stage2
f1812435-ef4f-408d-a285-22df1dcaecf2.rna_seq.augmented_star_gene_counts,Stage2
18075aee-7064-4b22-b976-21f93af49218.rna_seq.augmented_star_gene_counts,Stage2
c83c1267-97c6-410a-9922-af05e099e427.rna_seq.augmented_star_gene_counts,Stage2
cbaca6c1-9e91-48ea-b3e6-3a476624bb27.rna_seq.augmented_star_gene_counts,Stage2
581c3cb6-8fa7-41f0-9744-96150e1e3cf4.rna_seq.augmented_star_gene_counts,Stage2
e9952261-abcb-419f-9889-d98fe970cf20.rna_seq.augmented_star_gene_counts,Stage2
be0e8bb7-c5ef-4f5a-9112-095350caab7e.rna_seq.augmented_star_gene_counts,Stage2
f2d38d08-19b8-48b3-98ee-435b8be3e934.rna_seq.augmented_star_gene_counts,Stage2
1835816c-b9ca-4d5a-8baa-633106ba5755.rna_seq.augmented_star_gene_counts,Stage2
3c4880f0-0dbd-48ef-a394-c005b76a7ecc.rna_seq.augmented_star_gene_counts,Stage2
1a290f14-d0fd-4db9-aa65-d251e0c9efe2.rna_seq.augmented_star_gene_counts,Stage2
aef2bec8-0a64-479b-9a3e-06b3b0d9108f.rna_seq.augmented_star_gene_counts,Stage2
4a9685ac-1be6-4253-bfd0-2fcf182e37c3.rna_seq.augmented_star_gene_counts,Stage2
2f5cd769-f993-4adc-84fc-350940558c0b.rna_seq.augmented_star_gene_counts,Stage2
6f62db0c-eaa9-4305-80da-a19adf338621.rna_seq.augmented_star_gene_counts,Stage2
090c4a3a-a761-4cde-9354-57348d0b6b68.rna_seq.augmented_star_gene_counts,Stage2
4cd8718b-24a3-4d3f-87e5-966941fbe26e.rna_seq.augmented_star_gene_counts,Stage2
8488045b-16a9-4910-80e8-719381516fe6.rna_seq.augmented_star_gene_counts,Stage2
c820cbc9-cc38-41b4-abe0-b227323125f0.rna_seq.augmented_star_gene_counts,Stage2
748b6e0b-2368-4d58-9e1c-06b438a2b9e8.rna_seq.augmented_star_gene_counts,Stage2
44034f69-a8c2-4959-a3b9-aceb889c15b4.rna_seq.augmented_star_gene_counts,Stage2
523eef0c-f788-4bf6-bebb-908ffb4f7fb6.rna_seq.augmented_star_gene_counts,Stage2
455997ce-8de7-4f1c-8656-6c5c5b7a2d7f.rna_seq.augmented_star_gene_counts,Stage2
0c3ddc5e-c0d4-4c4f-88e2-08569bc8fbba.rna_seq.augmented_star_gene_counts,Stage2
7d54f864-edd0-46be-88e2-e1de4f3269d8.rna_seq.augmented_star_gene_counts,Stage2
b9a321ae-1a66-438f-9b21-0a0ea60e7525.rna_seq.augmented_star_gene_counts,Stage2
d1c3a993-a9b3-4938-949a-a38793413139.rna_seq.augmented_star_gene_counts,Stage2
0363c6fe-a60c-4cb9-9454-311bbf7c82f0.rna_seq.augmented_star_gene_counts,Stage2
d49e00ed-2b3a-43c9-beb1-34be64f6d386.rna_seq.augmented_star_gene_counts,Stage2
eb0e6381-873f-43cc-a78a-22fb5dd7c9b0.rna_seq.augmented_star_gene_counts,Stage2
a831d086-aa8a-4276-8edd-0fe6e01afa6d.rna_seq.augmented_star_gene_counts,Stage2
fee13f16-47c5-4bd5-871d-d39992f60ec1.rna_seq.augmented_star_gene_counts,Stage2
b4a04fab-7043-4d1d-921a-0fe2d2811304.rna_seq.augmented_star_gene_counts,Stage2
24887d91-0d37-4019-87a5-b1b1559fb6f9.rna_seq.augmented_star_gene_counts,Stage2
6ba3eb7c-7d71-4948-8813-4a260185f7b0.rna_seq.augmented_star_gene_counts,Stage2
47471bac-d7d6-453a-b353-491ccfd5d900.rna_seq.augmented_star_gene_counts,Stage2
e0a2dde1-3c62-4630-9984-2390aac84b86.rna_seq.augmented_star_gene_counts,Stage2
4c93d858-84fa-4423-827b-5f4b0dcae904.rna_seq.augmented_star_gene_counts,Stage2
65810d98-a5d6-412e-868e-9da261673d9f.rna_seq.augmented_star_gene_counts,Stage2
aa32595e-7c0e-43de-98fa-fe4f47463a53.rna_seq.augmented_star_gene_counts,Stage2
47d2e5f4-209d-463b-b6a2-c8a94648b0ea.rna_seq.augmented_star_gene_counts,Stage2
9f6c5557-6172-4862-94bd-012d27d214b5.rna_seq.augmented_star_gene_counts,Stage2
a9df4b63-622a-4ae2-a646-7a027002d8d1.rna_seq.augmented_star_gene_counts,Stage2
9d5a9200-526e-47d5-8ad9-615ea8ed5ee1.rna_seq.augmented_star_gene_counts,Stage2
7def548f-8d54-41a3-a6b7-99b2f2abc894.rna_seq.augmented_star_gene_counts,Stage2
0a669eee-5610-4b4d-af54-7fc85a0bab8f.rna_seq.augmented_star_gene_counts,Stage2
5bf0c22a-d47f-4b0d-9d43-760fcaa1b42c.rna_seq.augmented_star_gene_counts,Stage2
8e25718c-f90c-47b9-a346-3de2601e2cd4.rna_seq.augmented_star_gene_counts,Stage2
b17217f8-a451-4623-88fd-37bb2d6f1112.rna_seq.augmented_star_gene_counts,Stage2
12e84e62-ffae-4860-836e-5f0eadd8831b.rna_seq.augmented_star_gene_counts,Stage2
078d1b78-5086-4536-afb0-9843a9059f05.rna_seq.augmented_star_gene_counts,Stage2
1c993a04-e313-45b3-8deb-7e1a7a6bfbf2.rna_seq.augmented_star_gene_counts,Stage2
fd16e52c-b018-4404-9f93-059b1f8f3a89.rna_seq.augmented_star_gene_counts,Stage2
fa60d195-2f77-40ef-a304-19fe7e14f368.rna_seq.augmented_star_gene_counts,Stage2
a057783d-e497-4985-bcc7-0ae48388c883.rna_seq.augmented_star_gene_counts,Stage2
92bb8159-cd5a-4a8f-b881-8a85d28f0b2d.rna_seq.augmented_star_gene_counts,Stage2
9aa5399c-a33c-443b-9b82-ef53ec22c9d9.rna_seq.augmented_star_gene_counts,Stage2
0456066c-3a77-4795-b6e9-4723fc1650e2.rna_seq.augmented_star_gene_counts,Stage2
6e4be81a-7e2f-428a-aaf4-7a028494df2d.rna_seq.augmented_star_gene_counts,Stage2
abdfa14e-93dd-4987-86c1-679aaa560c18.rna_seq.augmented_star_gene_counts,Stage2
c29f985d-859c-4eaf-8593-276ac8d6af69.rna_seq.augmented_star_gene_counts,Stage2
963cb78b-6480-453f-9f62-d92c205f034a.rna_seq.augmented_star_gene_counts,Stage2
61a3b6d0-02bc-4f1d-a68f-4471a7c3de28.rna_seq.augmented_star_gene_counts,Stage2
f4f442e1-b6cf-467a-ae5e-ccf28a7f940b.rna_seq.augmented_star_gene_counts,Stage2
6a4d9398-65fd-408f-b92f-def4db9c362f.rna_seq.augmented_star_gene_counts,Stage2
a8c9315b-9084-489f-8ef6-0e061a343845.rna_seq.augmented_star_gene_counts,Stage2
961aedcd-52db-4aa8-94d7-8ad97f3827b1.rna_seq.augmented_star_gene_counts,Stage2
2561353d-6117-4c92-9d23-942b714f9a53.rna_seq.augmented_star_gene_counts,Stage2
25de9457-d9d3-4ad6-9598-fa46727b8a97.rna_seq.augmented_star_gene_counts,Stage2
d7c088d5-de13-4b11-a69d-a05c11bbb2b0.rna_seq.augmented_star_gene_counts,Stage2
6ccdc50e-57c4-4560-b58f-e91d19fe4b2f.rna_seq.augmented_star_gene_counts,Stage2
c2e20b72-02d9-40f6-8ed3-c91c0aa933a9.rna_seq.augmented_star_gene_counts,Stage2
09e6c954-819c-40d9-afa0-3441b4f132cb.rna_seq.augmented_star_gene_counts,Stage2
c1673329-c5be-4cd9-b8c5-932d4f2a184d.rna_seq.augmented_star_gene_counts,Stage2
1d5ccd61-40d4-4ef9-a9cb-822d0324d755.rna_seq.augmented_star_gene_counts,Stage2
afced06f-402d-4d57-8f4e-63d94f1d8c1e.rna_seq.augmented_star_gene_counts,Stage2
a3e73737-78a8-4e9c-84bf-067c50927efb.rna_seq.augmented_star_gene_counts,Stage2
f438f909-8356-4da5-aa6a-321588c3486a.rna_seq.augmented_star_gene_counts,Stage2
03289857-1c22-4a78-8571-6d3e826b3e44.rna_seq.augmented_star_gene_counts,Stage2
923f7cd6-2652-4806-995e-48b7e724dc66.rna_seq.augmented_star_gene_counts,Stage2
68bc80a7-b4c4-4cc1-96aa-21d5fb01cce9.rna_seq.augmented_star_gene_counts,Stage2
33f30e2c-ec0d-469d-a23d-0941645139e5.rna_seq.augmented_star_gene_counts,Stage4
fcd0f958-124f-4a93-8361-be002944e75b.rna_seq.augmented_star_gene_counts,Stage4
c5f93e9e-8aa6-4416-81e5-17a662e10215.rna_seq.augmented_star_gene_counts,Stage4
e8a09147-6719-45a6-9ef3-28ea9e5c34de.rna_seq.augmented_star_gene_counts,Stage4
041fe89e-6fbc-4194-a39d-b518cdfb5628.rna_seq.augmented_star_gene_counts,Stage4
3e6e180f-26a2-4c9d-95cd-3bde0a723fb6.rna_seq.augmented_star_gene_counts,Stage4
b09f858e-aa79-40a8-8546-de32adb89bbb.rna_seq.augmented_star_gene_counts,Stage4
735e4794-9f2f-4d3d-ad01-05bb198063d0.rna_seq.augmented_star_gene_counts,Stage4
4a9fb304-f3fc-4a96-b71e-8dc38c40a8fa.rna_seq.augmented_star_gene_counts,Stage4
17e1dba9-e44e-4b35-87de-13a5cc4b07ce.rna_seq.augmented_star_gene_counts,Stage4
8f3b7aef-4540-411c-95b4-8e75add65847.rna_seq.augmented_star_gene_counts,Stage4
36e581f2-5079-4a3e-823b-9a807fe53122.rna_seq.augmented_star_gene_counts,Stage4
6de014e5-5283-42d9-996f-78a3a71202c5.rna_seq.augmented_star_gene_counts,Stage4
3a2cfc92-dd3d-475c-a841-37542aaa1e8d.rna_seq.augmented_star_gene_counts,Stage4
de53dd9c-416a-492f-89bf-a79866fd3f2d.rna_seq.augmented_star_gene_counts,Stage4
e3c87d1b-9a3b-4399-9f7c-9f9ad6b03077.rna_seq.augmented_star_gene_counts,Stage4
494351de-4419-43d3-9fee-4b0a196162c3.rna_seq.augmented_star_gene_counts,Stage4
bfafd32c-b191-4edf-bacb-da2393f783a2.rna_seq.augmented_star_gene_counts,Stage4
2e7efc6b-4bcc-4769-9cf4-9a41069c6778.rna_seq.augmented_star_gene_counts,Stage4
10b36266-3877-492d-8ed2-ea129f1e6b2d.rna_seq.augmented_star_gene_counts,Stage4
7acc59c7-cdf6-41d5-a82a-d8696586e327.rna_seq.augmented_star_gene_counts,Stage4
52358730-e14d-471d-a051-7ded4c04457f.rna_seq.augmented_star_gene_counts,Stage4
a759f368-4b3f-4266-8a63-156eba7c1e61.rna_seq.augmented_star_gene_counts,Stage4
37805a9e-4343-4cdb-b817-35a0f21ae98d.rna_seq.augmented_star_gene_counts,Stage4
b3909f3a-6e48-4c70-8c96-fe3aaaec0288.rna_seq.augmented_star_gene_counts,Stage4
a6e75a2e-6b13-42e3-aca3-7421a4367498.rna_seq.augmented_star_gene_counts,Stage4
203afd4c-6bf9-4d27-a03f-62067f6fb9bd.rna_seq.augmented_star_gene_counts,Stage4
5dda83c2-c7b7-468e-ae79-fe2736bf2a4b.rna_seq.augmented_star_gene_counts,Stage4
a020086f-9e3f-455f-9447-15909d2bc710.rna_seq.augmented_star_gene_counts,Stage4
b92a6b85-da4b-4ce0-bc1e-fd8908f1edba.rna_seq.augmented_star_gene_counts,Stage4
42c01286-ab49-4d6e-ad9a-4579d2f94f2d.rna_seq.augmented_star_gene_counts,Stage4
7a3cce68-ca35-429b-8ed3-2ffe14615482.rna_seq.augmented_star_gene_counts,Stage4
07f152a7-3160-4cd7-b88d-2c246c4b7b8b.rna_seq.augmented_star_gene_counts,Stage4
5222c206-b98b-41bb-820e-17cc3be33df1.rna_seq.augmented_star_gene_counts,Stage4
2683f38b-0902-499f-a0ec-1bc0c2cb4c52.rna_seq.augmented_star_gene_counts,Stage4
4d2209df-9e4d-4b55-bd0e-4b3503316912.rna_seq.augmented_star_gene_counts,Stage4
e0821d5c-eb82-4bae-acb1-cd2a114cce17.rna_seq.augmented_star_gene_counts,Stage4
bbbe5d40-e4e5-4b03-98a6-3743e8bf0b45.rna_seq.augmented_star_gene_counts,Stage4
93468848-4325-40e5-b846-a59820dbe7f6.rna_seq.augmented_star_gene_counts,Stage4
3c182e07-0453-41ed-8acc-93197a49f007.rna_seq.augmented_star_gene_counts,Stage4
ed60b91e-dc3d-4d44-a028-f3b984c5338a.rna_seq.augmented_star_gene_counts,Stage4
52a47292-fda9-4028-a453-3a539610afd0.rna_seq.augmented_star_gene_counts,Stage4
19838839-8987-449b-9f11-5c65d4435c18.rna_seq.augmented_star_gene_counts,Stage4
06a864f2-4300-4675-ad8b-511907a93d41.rna_seq.augmented_star_gene_counts,Stage4
b16f5abd-1fab-4ece-963f-1e289c2d3b03.rna_seq.augmented_star_gene_counts,Stage4
a44d5eba-0d60-41d5-93c9-022622920b64.rna_seq.augmented_star_gene_counts,Stage4
bebd58e3-e083-46c5-8f5c-75eea307cff3.rna_seq.augmented_star_gene_counts,Stage4
d409a68f-39e6-4b1d-af0b-69a9cf8a6532.rna_seq.augmented_star_gene_counts,Stage4
5fb489d1-aaee-42e1-b403-88a58a898e9d.rna_seq.augmented_star_gene_counts,Stage4
422bcfbb-6d1b-4f54-b409-307bafee629e.rna_seq.augmented_star_gene_counts,Stage4
1eb2880a-311d-4ec7-a70e-be28c67898e7.rna_seq.augmented_star_gene_counts,Stage4
ff66de71-61ea-41de-88bc-0bafa817056a.rna_seq.augmented_star_gene_counts,Stage4
77854a12-9ce0-45d8-a530-9172bdf9c18b.rna_seq.augmented_star_gene_counts,Stage4
202c962b-eb8c-49fc-af4b-afccfdcd76be.rna_seq.augmented_star_gene_counts,Stage4
099b49a9-c975-4cab-abca-e7eff0a7761d.rna_seq.augmented_star_gene_counts,Stage4
42d768b0-15c5-47c4-8001-23e7ecb87ce5.rna_seq.augmented_star_gene_counts,Stage4
b51dbbcd-4a4d-41e0-955e-c3c1f0e1335d.rna_seq.augmented_star_gene_counts,Stage4
14337deb-f1c1-4cdf-93b2-40266fa2c83e.rna_seq.augmented_star_gene_counts,Stage4
3c3bba05-6653-4c5e-9443-c44952ac746a.rna_seq.augmented_star_gene_counts,Stage4
39463152-5671-4bcb-a30e-7a4ccae6baea.rna_seq.augmented_star_gene_counts,Stage4
72165763-bcce-4215-a93b-ba13cbe45e5c.rna_seq.augmented_star_gene_counts,Stage4
2a155d47-2e6c-47e8-8249-2dd996ee518e.rna_seq.augmented_star_gene_counts,Stage4
006a0980-b5f9-4ea9-9b98-a3d14a932e7d.rna_seq.augmented_star_gene_counts,Stage4
28f9b9c7-f166-420a-9193-a310a4e08234.rna_seq.augmented_star_gene_counts,Stage4
6879d560-083b-4bba-a780-7c2e2cd0a5b1.rna_seq.augmented_star_gene_counts,Stage4
a350fc85-f426-42c9-9ef7-f7e06b132673.rna_seq.augmented_star_gene_counts,Stage4
bc179850-6a76-4cff-a167-304fd21a6bb7.rna_seq.augmented_star_gene_counts,Stage4
4053fcab-bf63-45a2-b4ef-7525e41eb5d3.rna_seq.augmented_star_gene_counts,Stage4
ea8c803e-dfc3-42dc-ad04-c5cce427b118.rna_seq.augmented_star_gene_counts,Stage4
66c48e87-efaa-4fb4-be69-89ed505c52b2.rna_seq.augmented_star_gene_counts,Stage4
7667cba8-201f-4cd7-89f3-1b309829c954.rna_seq.augmented_star_gene_counts,Stage4
813197b7-7cc9-4661-8f1d-37bed3fac812.rna_seq.augmented_star_gene_counts,Stage4
1d36ab5e-839d-47ac-914f-2c7f8499a498.rna_seq.augmented_star_gene_counts,Stage4
8852b207-8d76-47de-afb2-ea8128d09f34.rna_seq.augmented_star_gene_counts,Stage4
7f055b03-6ec7-4490-ac04-273d393d05b5.rna_seq.augmented_star_gene_counts,Stage4
24c0dd7a-dc2d-415d-b839-0e5ce7eacd54.rna_seq.augmented_star_gene_counts,Stage4
abf51d0e-0d4c-4636-b159-784a0661cd63.rna_seq.augmented_star_gene_counts,Stage4
7a0ce15a-2955-4e6e-8f5f-bc9624312e39.rna_seq.augmented_star_gene_counts,Stage4
4c6bcb4d-d212-4ecb-ae60-77da82be4449.rna_seq.augmented_star_gene_counts,Stage4
75f5f579-aba4-4d39-8519-5de8997d8d77.rna_seq.augmented_star_gene_counts,Stage4
56e2c9b1-8630-4efa-b230-806cdb99466e.rna_seq.augmented_star_gene_counts,Stage4
3fe6c254-1a6a-4778-be73-cc8fc3bf35ef.rna_seq.augmented_star_gene_counts,Stage4
7f9b9735-b744-47eb-9e0c-e9de4f217dfa.rna_seq.augmented_star_gene_counts,Stage4
bf267abc-f008-4121-a0d6-039adfdbfb08.rna_seq.augmented_star_gene_counts,Stage4
1ee4cd4e-7386-493a-9a36-421856a2b924.rna_seq.augmented_star_gene_counts,Stage4
c4e2a7e8-80ad-4a24-ba93-e27a6aa895b0.rna_seq.augmented_star_gene_counts,Stage4
f39b4560-ca7a-4c03-9512-ecf80486e06f.rna_seq.augmented_star_gene_counts,Stage4
0f76a49f-1f61-4863-872c-e090e460d151.rna_seq.augmented_star_gene_counts,Stage4
32127b90-7788-49cf-ae2a-c9c1a6479429.rna_seq.augmented_star_gene_counts,Stage4
fa473b63-c498-42d0-bc91-0c70a6bf6896.rna_seq.augmented_star_gene_counts,Stage4
905e9e48-18c8-4a1d-a37e-fe6afa8e808d.rna_seq.augmented_star_gene_counts,Stage4
5265c50d-332c-4ed7-a880-53011c11f001.rna_seq.augmented_star_gene_counts,Stage4
5f7c407c-3228-4df4-8760-e83dae1f0944.rna_seq.augmented_star_gene_counts,Stage4
236c2890-3e10-46a2-92c8-1ae5ce275d61.rna_seq.augmented_star_gene_counts,Stage4
cac96e0f-a090-4384-9c98-f2b429f48311.rna_seq.augmented_star_gene_counts,Stage4
66cf6609-a66d-4c1f-969e-0329039a2882.rna_seq.augmented_star_gene_counts,Stage4
c5657390-ce41-4859-beae-2e1e0017d8f6.rna_seq.augmented_star_gene_counts,Stage4
34d955d4-2ec4-4c13-8224-9721d4ec0168.rna_seq.augmented_star_gene_counts,Stage4
